"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","39/2183","86/9521",0.453488372093023,1.9778574396233,4.96832853216107,3.42329022718921e-06,0.000108300454460168,8.77934718551873e-05,"6833/3767/1131/480/3783/107/776/483/148327/115/477/111/5578/64764/6513/778/90993/3651/816/3778/9586/3780/3779/5332/113/5567/2740/114/885/6262/886/157855/116/6616/10242/2864/23439/2695/6514",39
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","34/2183","73/9521",0.465753424657534,2.03135059833458,4.82452210917405,6.97920748202968e-06,0.000202397016978861,0.000164072596945961,"1548/7366/2947/1549/2330/10720/2328/2950/2938/7363/2946/27306/2949/54490/7367/7364/221357/4128/222/2939/1555/2327/2940/1558/126/2953/2944/125/54578/54575/1557/54658/131/54657",34
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","47/2183","116/9521",0.405172413793103,1.76713080701976,4.53393726736147,1.57927354835348e-05,0.000408060561389012,0.00033079319556036,"5321/3760/2744/107/776/115/6511/2752/3708/5337/10991/2890/6505/2916/111/2914/2900/5578/2899/773/2904/2891/9762/9454/255189/59345/6506/123745/2903/2770/6512/51764/81539/2906/5332/113/5567/2902/2912/114/2786/2897/2917/57084/2893/9229/5535",47
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","41/2183","97/9521",0.422680412371134,1.84349070370388,4.55412573867646,1.64162294811671e-05,0.000408060561389012,0.00033079319556036,"1131/480/1473/1472/3783/107/483/4025/115/3708/1470/6263/477/111/5578/362/492/1471/491/3778/952/3346/277/5332/113/5567/55503/653247/114/51806/1755/4069/5542/4842/54831/1469/153/810/23439/3347/6779",41
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","22/2183","41/9521",0.536585365853659,2.34027909679005,4.69071981284234,1.84741281097634e-05,0.000428599772146512,0.000347443251467832,"2568/2558/2890/1139/773/2564/2904/2891/2903/774/8973/2906/2567/2902/2555/55879/1141/2569/2556/57084/2893/140679",22
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","35/2183","79/9521",0.443037974683544,1.93227877094,4.53820208373731,2.00734612606208e-05,0.000436597782418503,0.000353926816963578,"22977/1548/7366/2947/1549/10720/246181/2950/1572/2938/7363/2946/27306/2949/54490/1545/7367/7364/221357/27294/222/873/2939/1555/2940/126/2953/2944/125/1543/54578/54575/54658/131/54657",35
"Organismal Systems","Digestive system","hsa04976","Bile secretion","38/2183","90/9521",0.422222222222222,1.84149233979742,4.37470766950023,3.40905744401807e-05,0.000697854112069582,0.000565713557273587,"480/7366/107/483/115/10720/477/111/949/6513/6579/7363/361/54490/9429/7367/7364/366/113/5567/1080/28234/114/5243/8671/10257/343/9971/8647/6523/54578/9376/23439/54575/10599/6555/54658/54657",38
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and
cytokine receptor","41/2183","100/9521",0.41,1.78818598259276,4.32152165299787,3.89357123737995e-05,0.000752757105893457,0.000610220521413933,"3572/50604/6374/146433/53833/6364/2919/3627/3559/9547/2921/53832/6355/6354/1524/6362/7124/3576/6372/6357/6373/6376/8793/8794/58985/5197/1230/6358/6369/6370/10344/6352/5473/5196/27178/8807/6346/6360/3577/4283/1235",41
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","75/2183","217/9521",0.345622119815668,1.50740641445945,4.12389365639939,5.42256491883847e-05,0.000993185574608309,0.000805123212326155,"5241/2099/367/993/1956/7366/79852/2255/332/107/2947/776/148327/115/688/596/5465/3838/1869/10720/111/5578/64764/1139/778/90993/10683/2938/773/7363/9970/55584/2946/595/408/2949/54490/9586/7422/1545/7367/774/2770/7364/4609/221357/1978/8823/2254/23746/2053/2939/113/1555/5567/990/2353/8817/114/2940/2253/1143/26281/1141/2953/2944/1543/8822/153/54578/407054/54575/54658/54657/406885",75
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","45/2183","115/9521",0.391304347826087,1.70664621880539,4.15819604246191,6.55451788439808e-05,0.00114048611188527,0.000924531996325623,"5321/3760/10411/6532/5743/776/3708/3362/260293/3359/111/247/5578/778/773/7166/6571/255189/9177/59345/123745/774/2770/4128/51764/3751/1843/5332/5567/3356/3355/3765/1562/2786/170572/285242/1558/1644/3354/242/3763/3358/6570/121278/1557",45
