"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000115355.17",1802.77987016422,1.48739081711573,0.0752214736941538,19.7734867993065,5.03713864891878e-87,1.24523603292374e-85,"CCDC88A"
"ENSG00000107833.10",1139.10937424579,1.45340347364617,0.0735126973671854,19.7707814527146,5.31463748356033e-87,1.31315605014788e-85,"NPM3"
"ENSG00000286324.1",2.21489088236138,5.01554652787548,0.253687012959049,19.7706081575611,5.3329240485799e-87,1.31699196843413e-85,NA
"ENSG00000145860.12",2745.39069295399,1.36339853165062,0.0689731389933012,19.7670941405615,5.71757420681989e-87,1.41052230315893e-85,"RNF145"
"ENSG00000240405.7",11.1112514834435,2.75031980226651,0.139164447403395,19.7630921803913,6.18944358864126e-87,1.52535398662292e-85,"SAMMSON"
"ENSG00000206249.3",1.82068356161736,3.82158843709775,0.193411823478292,19.7588149905772,6.73677884953674e-87,1.65852748062911e-85,NA
"ENSG00000105550.10",5.20422813789747,6.47822364134507,0.32789793055612,19.7568299084959,7.00695170460811e-87,1.72415121742852e-85,"FGF21"
"ENSG00000065911.13",4770.47749890709,1.02676337214983,0.0520119108846861,19.7409276968546,9.59991986603208e-87,2.36096636746504e-85,"MTHFD2"
"ENSG00000171848.16",3507.9576041566,1.53497680397237,0.0777576085603938,19.7405351372164,9.67479403707148e-87,2.37815414044241e-85,"RRM2"
"ENSG00000250740.1",11.0248667720395,-3.1640430062165,0.160303141552913,-19.7378727301617,1.01982072177187e-86,2.5055224502388e-85,NA
"ENSG00000155511.18",97.9487787297305,-4.55569127360515,0.23083161668957,-19.7359934437915,1.05845778856356e-86,2.59910795897171e-85,"GRIA1"
"ENSG00000285294.1",9.19845364943671,3.69248655689307,0.187146251844927,19.7304862934297,1.18029512827166e-86,2.89530523569395e-85,"LINC00842"
"ENSG00000205358.4",19.3944560848293,3.21328833485147,0.162877037883068,19.728307787365,1.23226628985107e-86,3.02123817810427e-85,"MT1H"
"ENSG00000065361.16",22986.236182376,-1.18909044646437,0.0602918606420815,-19.7222383552454,1.38941435166807e-86,3.40477914635125e-85,"ERBB3"
"ENSG00000224812.3",35.9484067795658,1.9943021560442,0.101155684356642,19.7151763514639,1.59758359236427e-86,3.9128900240922e-85,"TMEM72-AS1"
